Processed DateTime,Device Make,Aperture (f/_),ISO,Image Width,File Path,Filename,File Size,Focal Length (mm),Image DateTime,Device Model,Image Format,Image Mode,Megapixels,Image Height,Shutter Speed,Image Size
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 10:41:08 sketch.jpg,2020-10-09 10:41:08 sketch.jpg,1314037,3.039,2020-10-09 10:41:08,RP_imx219,JPEG,RGB,1.2,960,0.001692,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,10,2560,/home/pi/picamera/output/2020-10-09 13:23:24 none.jpg,2020-10-09 13:23:24 none.jpg,148029,3.039,2020-10-09 13:23:24,RP_imx219,JPEG,RGB,4.9,1920,0.011144,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,64,2560,/home/pi/picamera/output/2020-10-27 11:21:32 none.jpg,2020-10-27 11:21:32 none.jpg,3208914,3.039,2020-10-27 11:21:32,RP_imx219,JPEG,RGB,4.9,1920,0.001087,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,16,2560,/home/pi/picamera/output/2020-10-27 11:17:57 none.jpg,2020-10-27 11:17:57 none.jpg,2213466,3.039,2020-10-27 11:17:57,RP_imx219,JPEG,RGB,4.9,1920,0.012146,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,16,1280,/home/pi/picamera/output/2020-10-09 10:41:03 none.jpg,2020-10-09 10:41:03 none.jpg,483703,3.039,2020-10-09 10:41:03,RP_imx219,JPEG,RGB,1.2,960,0.012297,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,64,2560,/home/pi/picamera/output/2020-10-27 11:32:23 none.jpg,2020-10-27 11:32:23 none.jpg,3145995,3.039,2020-10-27 11:32:23,RP_imx219,JPEG,RGB,4.9,1920,0.001011,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-09 13:23:35 negative.jpg,2020-10-09 13:23:35 negative.jpg,3012351,3.039,2020-10-09 13:23:35,RP_imx219,JPEG,RGB,4.9,1920,0.00035,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:46:46 emboss.jpg,2020-10-27 11:46:46 emboss.jpg,4189325,3.039,2020-10-27 11:46:46,RP_imx219,JPEG,RGB,4.9,1920,0.000766,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:32:38 negative.jpg,2020-10-27 11:32:38 negative.jpg,3122169,3.039,2020-10-27 11:32:38,RP_imx219,JPEG,RGB,4.9,1920,0.001257,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:18:19 colorpoint.jpg,2020-10-27 11:18:19 colorpoint.jpg,3139125,3.039,2020-10-27 11:18:19,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
